id,name,type,department,business_function,content,model,purpose,tools,team,trigger,kind,role,reports_to,owner_team,lead_role,nodes,used_by
sop_okr,Quarterly OKR Planning SOP,sop,dept_strategy,core,"Quarterly OKR Planning SOP. How leadership sets, cascades, and reviews quarterly objectives and key results. Owned by the Executive team.",,,,,,,,,team_exec,,,
a_briefing,Exec Briefing Agent,subagent,dept_strategy,core,Exec Briefing Agent is an AI sub-agent on the Executive team. Purpose: Compile a daily cross-department briefing from team updates and KPIs. It is built on the Claude model and uses 2 tool(s).,claude-sonnet-4-6,Compile a daily cross-department briefing from team updates and KPIs.,t_slack; t_snowflake,team_exec,,,,,,,,
wf_weekly_review,Weekly Business Review Workflow,workflow,dept_strategy,core,"Weekly Business Review Workflow is an automated workflow on the Executive team. Trigger: schedule_monday_08:00. It orchestrates: a_briefing, t_snowflake, t_slack.",,,,,schedule_monday_08:00,,,,,,a_briefing; t_snowflake; t_slack,
dept_product,Product Management,department,dept_product,core,Product Management department. Business function: core. Contains 1 team(s).,,,,,,,,,,,,
team_core_product,Core Product,team,dept_product,core,Core Product team within Product Management. Led by the Head of Product.,,,,,,,,,,Head of Product,,
p_team_core_product_lead,Head of Product,person,dept_product,core,"Head of Product, leading the Core Product team in Product Management. Pseudonymous role node — no personal data stored.",,,,,,,Head of Product,p_ceo,,,,
p_team_core_product_0,Senior Product Manager,person,dept_product,core,Senior Product Manager on the Core Product team (Product Management). Pseudonymous role node.,,,,,,,Senior Product Manager,p_team_core_product_lead,,,,
p_team_core_product_1,Product Manager,person,dept_product,core,Product Manager on the Core Product team (Product Management). Pseudonymous role node.,,,,,,,Product Manager,p_team_core_product_lead,,,,
sop_discovery,Product Discovery SOP,sop,dept_product,core,"Product Discovery SOP. Continuous discovery process: interviews, opportunity solution trees, and validation gates before build. Owned by the Core Product team.",,,,,,,,,team_core_product,,,
a_feedback,Feedback Triage Agent,subagent,dept_product,core,Feedback Triage Agent is an AI sub-agent on the Core Product team. Purpose: Cluster inbound product feedback into themes and tag against the roadmap. It is built on the Claude model and uses 2 tool(s).,claude-sonnet-4-6,Cluster inbound product feedback into themes and tag against the roadmap.,t_zendesk; t_slack,team_core_product,,,,,,,,
a_specwriter,Spec Drafting Agent,subagent,dept_product,core,Spec Drafting Agent is an AI sub-agent on the Core Product team. Purpose: Draft PRDs from a one-line problem statement and linked research. It is built on the Claude model and uses 1 tool(s).,claude-sonnet-4-6,Draft PRDs from a one-line problem statement and linked research.,t_asana,team_core_product,,,,,,,,
wf_feedback,Feedback-to-Roadmap Workflow,workflow,dept_product,core,"Feedback-to-Roadmap Workflow is an automated workflow on the Core Product team. Trigger: new_zendesk_tag. It orchestrates: a_feedback, t_zendesk, t_asana.",,,,,new_zendesk_tag,,,,,,a_feedback; t_zendesk; t_asana,
dept_growth,Marketing & Growth,department,dept_growth,core,Marketing & Growth department. Business function: core. Contains 1 team(s).,,,,,,,,,,,,
team_demandgen,Demand Gen,team,dept_growth,core,Demand Gen team within Marketing & Growth. Led by the Head of Growth.,,,,,,,,,,Head of Growth,,
p_team_demandgen_lead,Head of Growth,person,dept_growth,core,"Head of Growth, leading the Demand Gen team in Marketing & Growth. Pseudonymous role node — no personal data stored.",,,,,,,Head of Growth,p_ceo,,,,
p_team_demandgen_0,Growth Marketer,person,dept_growth,core,Growth Marketer on the Demand Gen team (Marketing & Growth). Pseudonymous role node.,,,,,,,Growth Marketer,p_team_demandgen_lead,,,,
p_team_demandgen_1,Lifecycle Marketer,person,dept_growth,core,Lifecycle Marketer on the Demand Gen team (Marketing & Growth). Pseudonymous role node.,,,,,,,Lifecycle Marketer,p_team_demandgen_lead,,,,
sop_outbound,Outbound Sequence SOP,sop,dept_growth,core,Outbound Sequence SOP. Standard 5-touch outbound cadence with personalization rules and compliance guardrails. Owned by the Demand Gen team.,,,,,,,,,team_demandgen,,,
sop_content,Content Production SOP,sop,dept_growth,core,Content Production SOP. Brief → draft → SEO review → publish pipeline with quality and brand checks. Owned by the Demand Gen team.,,,,,,,,,team_demandgen,,,
a_seo,SEO Sub-Agent,subagent,dept_growth,core,SEO Sub-Agent is an AI sub-agent on the Demand Gen team. Purpose: Plan and draft SEO content briefs from keyword gaps and search performance. It is built on the Claude model and uses 2 tool(s).,claude-sonnet-4-6,Plan and draft SEO content briefs from keyword gaps and search performance.,t_gsc; t_apollo,team_demandgen,,,,,,,,
a_outbound,Outbound Sequencer Agent,subagent,dept_growth,core,Outbound Sequencer Agent is an AI sub-agent on the Demand Gen team. Purpose: Build and personalize multi-step outbound sequences for target accounts. It is built on the Claude model and uses 2 tool(s).,claude-sonnet-4-6,Build and personalize multi-step outbound sequences for target accounts.,t_apollo; t_hubspot,team_demandgen,,,,,,,,
wf_lead,Lead Enrichment Workflow,workflow,dept_growth,core,"Lead Enrichment Workflow is an automated workflow on the Demand Gen team. Trigger: new_lead. It orchestrates: a_outbound, t_apollo, t_hubspot.",,,,,new_lead,,,,,,a_outbound; t_apollo; t_hubspot,
dept_sales,Sales,department,dept_sales,core,Sales department. Business function: core. Contains 1 team(s).,,,,,,,,,,,,
team_ae,Account Executives,team,dept_sales,core,Account Executives team within Sales. Led by the Head of Sales.,,,,,,,,,,Head of Sales,,
p_team_ae_lead,Head of Sales,person,dept_sales,core,"Head of Sales, leading the Account Executives team in Sales. Pseudonymous role node — no personal data stored.",,,,,,,Head of Sales,p_ceo,,,,
p_team_ae_0,Account Executive,person,dept_sales,core,Account Executive on the Account Executives team (Sales). Pseudonymous role node.,,,,,,,Account Executive,p_team_ae_lead,,,,
p_team_ae_1,Sales Development Rep,person,dept_sales,core,Sales Development Rep on the Account Executives team (Sales). Pseudonymous role node.,,,,,,,Sales Development Rep,p_team_ae_lead,,,,
sop_dealdesk,Deal Desk Approval SOP,sop,dept_sales,core,Deal Desk Approval SOP. Discount and contract approval matrix by deal size and term. Owned by the Account Executives team.,,,,,,,,,team_ae,,,
a_dealdesk,Deal Desk Agent,subagent,dept_sales,core,"Deal Desk Agent is an AI sub-agent on the Account Executives team. Purpose: Assemble quotes, check approval thresholds, and prep contract drafts. It is built on the Claude model and uses 2 tool(s).",claude-sonnet-4-6,"Assemble quotes, check approval thresholds, and prep contract drafts.",t_hubspot; t_docusign,team_ae,,,,,,,,
wf_quote,Quote-to-Contract Workflow,workflow,dept_sales,core,"Quote-to-Contract Workflow is an automated workflow on the Account Executives team. Trigger: stage_negotiation. It orchestrates: a_dealdesk, t_hubspot, t_docusign.",,,,,stage_negotiation,,,,,,a_dealdesk; t_hubspot; t_docusign,
dept_cs,Customer & Admin,department,dept_cs,core,Customer & Admin department. Business function: core. Contains 1 team(s).,,,,,,,,,,,,
team_support,Customer Support,team,dept_cs,core,Customer Support team within Customer & Admin. Led by the Head of Customer Success.,,,,,,,,,,Head of Customer Success,,
p_team_support_lead,Head of Customer Success,person,dept_cs,core,"Head of Customer Success, leading the Customer Support team in Customer & Admin. Pseudonymous role node — no personal data stored.",,,,,,,Head of Customer Success,p_ceo,,,,
p_team_support_0,Customer Success Manager,person,dept_cs,core,Customer Success Manager on the Customer Support team (Customer & Admin). Pseudonymous role node.,,,,,,,Customer Success Manager,p_team_support_lead,,,,
p_team_support_1,Support Specialist,person,dept_cs,core,Support Specialist on the Customer Support team (Customer & Admin). Pseudonymous role node.,,,,,,,Support Specialist,p_team_support_lead,,,,
sop_escalation,Support Escalation SOP,sop,dept_cs,core,Support Escalation SOP. Severity definitions and escalation paths from tier-1 support to engineering on-call. Owned by the Customer Support team.,,,,,,,,,team_support,,,
a_triage,Ticket Triage Agent,subagent,dept_cs,core,"Ticket Triage Agent is an AI sub-agent on the Customer Support team. Purpose: Classify, prioritize, and route inbound support tickets; draft first replies. It is built on the Claude model and uses 2 tool(s).",claude-sonnet-4-6,"Classify, prioritize, and route inbound support tickets; draft first replies.",t_zendesk; t_slack,team_support,,,,,,,,
wf_triage,Ticket Triage Workflow,workflow,dept_cs,core,"Ticket Triage Workflow is an automated workflow on the Customer Support team. Trigger: new_ticket. It orchestrates: a_triage, t_zendesk.",,,,,new_ticket,,,,,,a_triage; t_zendesk,
dept_ops,Operations & Supply Chain,department,dept_ops,enabling,Operations & Supply Chain department. Business function: enabling. Contains 1 team(s).,,,,,,,,,,,,
team_ops,Business Operations,team,dept_ops,enabling,Business Operations team within Operations & Supply Chain. Led by the Head of Operations.,,,,,,,,,,Head of Operations,,
p_team_ops_lead,Head of Operations,person,dept_ops,enabling,"Head of Operations, leading the Business Operations team in Operations & Supply Chain. Pseudonymous role node — no personal data stored.",,,,,,,Head of Operations,p_ceo,,,,
p_team_ops_0,Operations Analyst,person,dept_ops,enabling,Operations Analyst on the Business Operations team (Operations & Supply Chain). Pseudonymous role node.,,,,,,,Operations Analyst,p_team_ops_lead,,,,
sop_vendor,Vendor Onboarding SOP,sop,dept_ops,enabling,"Vendor Onboarding SOP. Due-diligence, security review, and DPA checklist for onboarding a new vendor. Owned by the Business Operations team.",,,,,,,,,team_ops,,,
a_vendor,Vendor Review Agent,subagent,dept_ops,enabling,Vendor Review Agent is an AI sub-agent on the Business Operations team. Purpose: Monitor vendor SLAs and flag renewals or breaches. It is built on the Claude model and uses 2 tool(s).,claude-sonnet-4-6,Monitor vendor SLAs and flag renewals or breaches.,t_asana; t_slack,team_ops,,,,,,,,
wf_renewal,Vendor Renewal Workflow,workflow,dept_ops,enabling,"Vendor Renewal Workflow is an automated workflow on the Business Operations team. Trigger: renewal_t_minus_60. It orchestrates: a_vendor, t_asana.",,,,,renewal_t_minus_60,,,,,,a_vendor; t_asana,
dept_tech,"Tech, AI & Automations",department,dept_tech,enabling,"Tech, AI & Automations department. Business function: enabling. Contains 1 team(s).",,,,,,,,,,,,
team_automation,AI & Automation,team,dept_tech,enabling,"AI & Automation team within Tech, AI & Automations. Led by the Head of Engineering.",,,,,,,,,,Head of Engineering,,
p_team_automation_lead,Head of Engineering,person,dept_tech,enabling,"Head of Engineering, leading the AI & Automation team in Tech, AI & Automations. Pseudonymous role node — no personal data stored.",,,,,,,Head of Engineering,p_ceo,,,,
p_team_automation_0,Automation Engineer,person,dept_tech,enabling,"Automation Engineer on the AI & Automation team (Tech, AI & Automations). Pseudonymous role node.",,,,,,,Automation Engineer,p_team_automation_lead,,,,
p_team_automation_1,ML Engineer,person,dept_tech,enabling,"ML Engineer on the AI & Automation team (Tech, AI & Automations). Pseudonymous role node.",,,,,,,ML Engineer,p_team_automation_lead,,,,
sop_agent_review,Agent Change Review SOP,sop,dept_tech,enabling,"Agent Change Review SOP. Review, evaluation, and rollout checklist before changing a production agent's prompt or tools. Owned by the AI & Automation team.",,,,,,,,,team_automation,,,
a_orchestrator,Workflow Orchestrator Agent,subagent,dept_tech,enabling,Workflow Orchestrator Agent is an AI sub-agent on the AI & Automation team. Purpose: Supervise and retry cross-team automations; surface failures to owners. It is built on the Claude model and uses 2 tool(s).,claude-sonnet-4-6,Supervise and retry cross-team automations; surface failures to owners.,t_github; t_slack,team_automation,,,,,,,,
wf_deploy,Agent Deploy Workflow,workflow,dept_tech,enabling,"Agent Deploy Workflow is an automated workflow on the AI & Automation team. Trigger: merge_to_main. It orchestrates: a_orchestrator, t_github.",,,,,merge_to_main,,,,,,a_orchestrator; t_github,
dept_finance,Finance,department,dept_finance,enabling,Finance department. Business function: enabling. Contains 1 team(s).,,,,,,,,,,,,
team_finance,Finance & Accounting,team,dept_finance,enabling,Finance & Accounting team within Finance. Led by the Head of Finance.,,,,,,,,,,Head of Finance,,
p_team_finance_lead,Head of Finance,person,dept_finance,enabling,"Head of Finance, leading the Finance & Accounting team in Finance. Pseudonymous role node — no personal data stored.",,,,,,,Head of Finance,p_ceo,,,,
p_team_finance_0,Financial Analyst,person,dept_finance,enabling,Financial Analyst on the Finance & Accounting team (Finance). Pseudonymous role node.,,,,,,,Financial Analyst,p_team_finance_lead,,,,
sop_close,Monthly Close SOP,sop,dept_finance,enabling,Monthly Close SOP. Steps and controls for the monthly financial close and reporting cycle. Owned by the Finance & Accounting team.,,,,,,,,,team_finance,,,
a_revrec,Revenue Recognition Agent,subagent,dept_finance,enabling,Revenue Recognition Agent is an AI sub-agent on the Finance & Accounting team. Purpose: Reconcile billing events and draft monthly revenue summaries. It is built on the Claude model and uses 2 tool(s).,claude-sonnet-4-6,Reconcile billing events and draft monthly revenue summaries.,t_stripe; t_snowflake,team_finance,,,,,,,,
wf_close,Monthly Close Workflow,workflow,dept_finance,enabling,"Monthly Close Workflow is an automated workflow on the Finance & Accounting team. Trigger: schedule_month_end. It orchestrates: a_revrec, t_stripe, t_snowflake.",,,,,schedule_month_end,,,,,,a_revrec; t_stripe; t_snowflake,
dept_data,Data & Analytics,department,dept_data,enabling,Data & Analytics department. Business function: enabling. Contains 1 team(s).,,,,,,,,,,,,
team_analytics,Analytics,team,dept_data,enabling,Analytics team within Data & Analytics. Led by the Head of Data.,,,,,,,,,,Head of Data,,
p_team_analytics_lead,Head of Data,person,dept_data,enabling,"Head of Data, leading the Analytics team in Data & Analytics. Pseudonymous role node — no personal data stored.",,,,,,,Head of Data,p_ceo,,,,
p_team_analytics_0,Analytics Engineer,person,dept_data,enabling,Analytics Engineer on the Analytics team (Data & Analytics). Pseudonymous role node.,,,,,,,Analytics Engineer,p_team_analytics_lead,,,,
p_team_analytics_1,Data Analyst,person,dept_data,enabling,Data Analyst on the Analytics team (Data & Analytics). Pseudonymous role node.,,,,,,,Data Analyst,p_team_analytics_lead,,,,
sop_metric,Metric Definition SOP,sop,dept_data,enabling,"Metric Definition SOP. How new metrics are proposed, defined, certified, and published in the semantic layer. Owned by the Analytics team.",,,,,,,,,team_analytics,,,
a_metrics,Metrics QA Agent,subagent,dept_data,enabling,Metrics QA Agent is an AI sub-agent on the Analytics team. Purpose: Detect anomalies in core metrics and annotate dashboards with likely causes. It is built on the Claude model and uses 2 tool(s).,claude-sonnet-4-6,Detect anomalies in core metrics and annotate dashboards with likely causes.,t_snowflake; t_slack,team_analytics,,,,,,,,
wf_anomaly,Metric Anomaly Workflow,workflow,dept_data,enabling,"Metric Anomaly Workflow is an automated workflow on the Analytics team. Trigger: daily_metric_load. It orchestrates: a_metrics, t_snowflake.",,,,,daily_metric_load,,,,,,a_metrics; t_snowflake,
dept_hr,Human Resources,department,dept_hr,enabling,Human Resources department. Business function: enabling. Contains 1 team(s).,,,,,,,,,,,,
team_people,People Ops,team,dept_hr,enabling,People Ops team within Human Resources. Led by the Head of People.,,,,,,,,,,Head of People,,
p_team_people_lead,Head of People,person,dept_hr,enabling,"Head of People, leading the People Ops team in Human Resources. Pseudonymous role node — no personal data stored.",,,,,,,Head of People,p_ceo,,,,
p_team_people_0,People Operations Specialist,person,dept_hr,enabling,People Operations Specialist on the People Ops team (Human Resources). Pseudonymous role node.,,,,,,,People Operations Specialist,p_team_people_lead,,,,
sop_onboard,Employee Onboarding SOP,sop,dept_hr,enabling,"Employee Onboarding SOP. 30-60-90 onboarding plan, access provisioning, and data-handling training requirements. Owned by the People Ops team.",,,,,,,,,team_people,,,
a_onboard,Onboarding Agent,subagent,dept_hr,enabling,Onboarding Agent is an AI sub-agent on the People Ops team. Purpose: Generate role-specific onboarding plans and provision access requests. It is built on the Claude model and uses 2 tool(s).,claude-sonnet-4-6,Generate role-specific onboarding plans and provision access requests.,t_asana; t_slack,team_people,,,,,,,,
wf_onboard,New Hire Onboarding Workflow,workflow,dept_hr,enabling,"New Hire Onboarding Workflow is an automated workflow on the People Ops team. Trigger: offer_accepted. It orchestrates: a_onboard, t_asana.",,,,,offer_accepted,,,,,,a_onboard; t_asana,
dept_legal,"Legal, Risk & Compliance",department,dept_legal,enabling,"Legal, Risk & Compliance department. Business function: enabling. Contains 1 team(s).",,,,,,,,,,,,
team_legal,Legal & Compliance,team,dept_legal,enabling,"Legal & Compliance team within Legal, Risk & Compliance. Led by the Head of Legal.",,,,,,,,,,Head of Legal,,
p_team_legal_lead,Head of Legal,person,dept_legal,enabling,"Head of Legal, leading the Legal & Compliance team in Legal, Risk & Compliance. Pseudonymous role node — no personal data stored.",,,,,,,Head of Legal,p_ceo,,,,
p_team_legal_0,Compliance Manager,person,dept_legal,enabling,"Compliance Manager on the Legal & Compliance team (Legal, Risk & Compliance). Pseudonymous role node.",,,,,,,Compliance Manager,p_team_legal_lead,,,,
sop_gdpr,GDPR Data Handling SOP,sop,dept_legal,enabling,"GDPR Data Handling SOP. Lawful-basis, data-minimization, sub-processor DPA, and third-country transfer requirements for personal data (incl. BDSG specifics for German employee data). Owned by the Legal & Compliance team.",,,,,,,,,team_legal,,,
a_dpa,DPA Review Agent,subagent,dept_legal,enabling,DPA Review Agent is an AI sub-agent on the Legal & Compliance team. Purpose: Triage incoming contracts for data-processing terms and flag GDPR risk. It is built on the Claude model and uses 2 tool(s).,claude-sonnet-4-6,Triage incoming contracts for data-processing terms and flag GDPR risk.,t_docusign; t_slack,team_legal,,,,,,,,
wf_dpa,Contract DPA Review Workflow,workflow,dept_legal,enabling,"Contract DPA Review Workflow is an automated workflow on the Legal & Compliance team. Trigger: new_contract. It orchestrates: a_dpa, t_docusign.",,,,,new_contract,,,,,,a_dpa; t_docusign,
p_ceo,Chief Executive Officer,person,dept_strategy,core,Chief Executive Officer. Root of the org reporting tree. Pseudonymous role node — no personal data stored.,,,,,,,Chief Executive Officer,,,,,
